10;66.48;258.15;0.05;16
20;62.63;85.70;0.04;4
30;67.18;37.69;0.03;0
40;64.44;114.93;0.06;2
50;64.44;17.04;0.03;0
10;41.88;164.37;0.04;55
20;67.90;54.33;0.03;0
30;57.49;24.85;0.03;1
40;66.48;31.61;0.03;0
50;61.61;38.23;0.07;16
10;57.28;83.23;0.03;2
20;50.99;101.79;0.09;36
30;59.40;26.82;0.02;1
40;65.19;13.53;0.03;0
50;58.69;3.84;0.03;0
10;66.48;141.46;0.04;38
20;65.95;35.46;0.06;1
30;60.61;42.04;0.04;12
40;66.48;20.31;0.03;4
50;69.31;16.84;0.02;0
10;57.49;182.91;0.04;13
20;59.64;99.90;0.04;7
30;54.08;14.62;0.02;0
40;61.40;37.64;0.04;3
50;68.59;119.11;0.05;0
10;55.76;196.16;0.04;26
20;61.52;185.73;0.05;4
30;65.19;153.10;0.06;27
40;61.22;31.82;0.03;1
50;62.97;26.64;0.04;0
10;63.25;155.97;0.04;51
20;55.90;74.61;0.05;6
30;68.59;115.04;0.05;0
40;66.47;6.21;0.02;0
50;62.63;0.05;0.06;0
10;61.52;223.01;0.05;32
20;52.39;64.08;0.03;10
30;64.38;9.01;0.02;0
40;65.30;54.78;0.03;0
50;64.44;74.82;0.07;34
10;63.66;183.62;0.04;9
20;62.80;89.82;0.04;6
30;58.73;73.56;0.04;26
40;67.27;30.01;0.05;0
50;63.66;29.06;0.04;0
10;47.38;205.26;0.04;30
20;54.41;27.14;0.05;5
30;65.80;113.84;0.13;23
40;68.62;40.73;0.04;2
50;63.64;121.71;0.06;6
10;51.66;183.28;0.03;38
20;53.76;45.36;0.05;17
30;59.41;69.55;0.05;5
40;65.19;123.97;0.07;24
50;63.03;84.17;0.06;1
10;56.86;237.77;0.06;15
20;55.44;55.70;0.03;0
30;65.12;13.98;0.06;0
40;62.37;41.93;0.03;0
50;63.64;10.34;0.03;0
10;60.11;239.52;0.04;9
20;68.59;55.12;0.04;35
30;61.52;122.65;0.05;14
40;63.66;60.48;0.10;27
50;65.30;6.99;0.02;0
10;57.80;190.92;0.04;11
20;61.55;109.16;0.05;9
30;64.44;29.34;0.04;1
40;65.07;52.36;0.05;0
50;65.12;36.78;0.05;1
10;63.89;219.14;0.05;42
20;63.78;112.75;0.05;34
30;63.13;6.34;0.02;0
40;63.64;13.37;0.03;0
50;65.19;33.15;0.05;0
10;62.94;118.28;0.03;25
20;55.76;65.64;0.05;4
30;61.22;49.11;0.03;0
40;65.12;45.55;0.04;0
50;65.95;114.12;0.07;44
10;48.41;158.87;0.04;36
20;62.63;42.22;0.05;3
30;63.70;49.03;0.03;0
40;58.26;97.66;0.06;27
50;64.35;12.95;0.03;0
10;68.62;157.91;0.05;25
20;57.80;78.97;0.04;2
30;62.94;66.24;0.05;3
40;67.94;51.93;0.03;0
50;66.53;113.24;0.08;4
10;66.47;200.91;0.05;17
20;58.52;150.23;0.05;14
30;60.61;31.14;0.03;0
40;67.90;12.31;0.02;0
50;66.47;11.06;0.02;0
10;55.87;186.64;0.05;37
20;58.82;89.66;0.05;14
30;63.78;127.51;0.06;24
40;65.12;82.74;0.06;7
50;63.70;120.01;0.07;11
