10;11.70;326.47;0.05;46
20;10.05;273.87;0.05;3
30;7.28;3.75;0.04;0
40;7.28;15.77;0.02;0
50;5.10;14.01;0.02;0
10;8.06;305.39;0.05;33
20;9.22;34.29;0.04;0
30;10.20;33.20;0.03;0
40;5.10;23.10;0.01;0
50;2.83;4.69;0.02;0
10;21.02;206.98;0.04;1
20;9.90;176.51;0.07;59
30;3.00;187.77;0.08;30
40;8.06;19.59;0.02;0
50;7.81;259.89;0.09;21
10;21.93;275.72;0.05;27
20;3.16;268.69;0.04;3
30;17.69;26.25;0.02;0
40;9.06;16.04;0.02;0
50;6.32;4.04;0.02;0
10;14.76;322.49;0.07;2
20;14.87;44.00;0.02;0
30;8.06;139.61;0.05;20
40;6.00;9.60;0.06;0
50;8.60;7.36;0.02;0
10;12.17;301.31;0.06;8
20;17.03;245.78;0.07;0
30;10.30;146.26;0.03;0
40;5.83;38.90;0.06;4
50;8.25;10.22;0.02;0
10;11.18;224.60;0.03;5
20;4.47;250.72;0.08;20
30;7.21;30.55;0.02;0
40;5.00;282.36;0.05;1
50;5.83;12.62;0.03;0
10;9.85;291.17;0.06;25
20;5.83;145.97;0.03;0
30;15.00;20.91;0.02;0
40;8.60;7.49;0.02;0
50;4.00;10.41;0.02;0
10;18.38;101.17;0.03;6
20;8.60;29.15;0.02;0
30;13.04;231.78;0.04;13
40;17.26;18.42;0.02;0
50;4.12;25.39;0.02;0
10;8.25;308.05;0.03;14
20;7.21;48.30;0.03;0
30;4.00;9.77;0.02;0
40;4.24;21.30;0.02;0
50;11.66;13.57;0.02;0
10;18.68;288.48;0.05;10
20;5.39;90.74;0.03;0
30;10.00;10.92;0.02;0
40;6.40;25.67;0.03;0
50;10.30;144.15;0.08;23
10;15.30;150.62;0.05;4
20;4.12;97.24;0.03;0
30;7.07;32.34;0.03;0
40;13.42;20.76;0.02;0
50;7.21;8.30;0.02;0
10;21.95;208.22;0.03;12
20;3.61;281.17;0.07;50
30;16.28;117.63;0.03;0
40;9.85;7.64;0.02;0
50;2.83;6.89;0.02;0
10;30.08;294.75;0.05;2
20;2.24;279.18;0.07;85
30;8.25;18.86;0.02;0
40;7.28;40.20;0.02;0
50;2.83;12.96;0.02;0
10;13.89;177.03;0.05;0
20;17.72;120.89;0.03;0
30;11.40;33.20;0.02;0
40;4.12;232.74;0.09;64
50;10.82;16.66;0.02;0
10;11.66;304.06;0.04;9
20;20.62;27.98;0.02;0
30;8.25;54.06;0.03;0
40;7.00;250.91;0.12;28
50;13.00;18.80;0.02;0
10;11.05;285.16;0.06;10
20;15.13;24.87;0.02;0
30;6.00;98.84;0.03;0
40;9.85;63.51;0.11;0
50;7.62;23.53;0.02;0
10;7.81;278.24;0.03;0
20;4.00;273.20;0.06;5
30;3.61;30.24;0.02;0
40;2.24;27.36;0.04;0
50;2.00;45.44;0.03;0
10;12.81;291.55;0.07;24
20;10.00;279.97;0.07;43
30;10.77;82.81;0.13;13
40;6.08;15.54;0.02;0
50;7.07;5.05;0.02;0
10;24.08;123.32;0.05;10
20;18.38;291.20;0.06;22
30;3.61;148.63;0.07;24
40;8.00;20.36;0.02;0
50;5.00;266.78;0.10;38
