10;224.38;0.04;0.39;2297692.13
20;94.34;0.05;0.23;1932042.22
30;60.70;0.05;0.12;1864604.18
40;49.63;0.04;0.05;2032695.10
50;36.83;0.03;0.02;1885722.19
10;224.79;0.04;0.55;2301839.36
20;103.76;0.05;0.14;2124905.47
30;65.24;0.04;0.15;2004288.12
40;48.02;0.04;0.04;1966825.99
50;34.14;0.04;0.05;1747921.80
10;215.58;0.06;0.26;2207584.47
20;101.28;0.05;0.29;2074254.88
30;65.62;0.04;0.14;2015985.36
40;49.41;0.04;0.06;2023688.49
50;34.31;0.04;0.04;1756685.81
10;218.58;0.04;0.25;2238211.64
20;111.50;0.04;0.18;2283545.07
30;62.76;0.04;0.12;1927964.12
40;45.91;0.04;0.06;1880304.76
50;36.57;0.04;0.06;1872473.90
10;219.14;0.05;0.40;2243959.34
20;97.94;0.05;0.19;2005750.04
30;63.01;0.04;0.07;1935571.96
40;47.42;0.04;0.06;1942354.18
50;35.93;0.04;0.03;1839381.13
10;219.27;0.06;0.47;2245323.45
20;102.83;0.05;0.23;2105991.71
30;63.18;0.04;0.08;1940749.79
40;45.57;0.04;0.05;1866444.25
50;38.16;0.04;0.03;1953792.80
10;229.05;0.03;0.35;2345482.83
20;97.84;0.06;0.39;2003806.94
30;67.99;0.04;0.16;2088596.93
40;48.48;0.04;0.07;1985857.38
50;35.83;0.04;0.08;1834741.79
10;228.43;0.05;0.45;2339115.45
20;106.25;0.04;0.19;2175974.86
30;66.03;0.04;0.13;2028330.18
40;46.94;0.04;0.05;1922539.73
50;34.92;0.04;0.05;1788084.69
10;208.09;0.05;0.58;2130813.69
20;100.87;0.05;0.14;2065722.57
30;68.38;0.04;0.09;2100641.61
40;43.99;0.04;0.10;1801739.26
50;33.96;0.04;0.05;1738931.20
10;227.82;0.04;0.49;2332854.94
20;100.05;0.04;0.15;2049096.31
30;65.41;0.04;0.14;2009541.62
40;49.38;0.04;0.09;2022413.92
50;36.37;0.04;0.05;1862386.77
10;207.67;0.06;0.70;2126525.63
20;101.70;0.04;0.15;2082878.09
30;59.23;0.04;0.11;1819632.12
40;43.03;0.04;0.09;1762448.68
50;35.23;0.04;0.04;1803534.75
10;203.24;0.05;0.21;2081140.08
20;106.64;0.05;0.30;2183950.95
30;66.41;0.04;0.12;2040073.17
40;45.93;0.04;0.08;1881301.62
50;36.31;0.03;0.06;1859186.60
10;219.47;0.04;0.56;2247359.41
20;100.09;0.05;0.24;2049882.47
30;62.64;0.04;0.09;1924251.92
40;46.96;0.04;0.06;1923513.36
50;33.82;0.04;0.05;1731741.44
10;208.16;0.05;0.46;2131596.64
20;99.92;0.05;0.16;2046436.00
30;62.16;0.04;0.09;1909646.83
40;44.91;0.04;0.06;1839345.32
50;35.54;0.04;0.05;1819516.36
10;224.92;0.05;0.48;2303191.98
20;99.20;0.05;0.28;2031590.96
30;64.04;0.04;0.07;1967314.68
40;45.18;0.04;0.08;1850515.59
50;36.40;0.04;0.03;1863741.14
10;224.48;0.04;0.46;2298624.35
20;96.85;0.04;0.14;1983428.20
30;63.97;0.04;0.15;1965217.97
40;42.24;0.05;0.09;1730087.77
50;36.82;0.04;0.07;1884954.93
10;227.58;0.05;0.33;2330396.27
20;98.48;0.05;0.39;2016815.22
30;63.72;0.04;0.08;1957524.10
40;46.29;0.04;0.08;1896129.13
50;37.24;0.04;0.07;1906567.77
10;216.23;0.05;0.23;2214198.20
20;98.02;0.05;0.19;2007516.82
30;64.75;0.04;0.08;1988997.72
40;45.96;0.04;0.05;1882395.17
50;34.82;0.04;0.05;1782741.06
10;217.74;0.05;0.37;2229608.93
20;100.80;0.05;0.26;2064305.47
30;59.28;0.05;0.19;1820931.13
40;44.84;0.04;0.04;1836636.26
50;35.95;0.04;0.06;1840571.53
10;215.62;0.05;0.47;2207996.33
20;97.03;0.05;0.25;1987142.17
30;62.99;0.04;0.13;1935004.00
40;45.60;0.04;0.05;1867733.35
50;37.08;0.04;0.06;1898441.07
